,bathroom,bedroom,code,date,description,direct,floor,ground_area,juridical,kitchen,length,link_image,livingroom,name_project,parking,price,road_width,specific_address,terrace,title,type,url_page,usable_area,width,ward,district,province,street
0, Có,8 pn, MS160442,,Liên hệ em Thảo 0332567059 để nhận thông tin chi tiết miễn phí ,,2 t, 57 m,Sổ Hồng, Có, 0 m,https://nhadat24h.net.vn/storage/product/9861/507465f3cc8610d84997-1.jpg, Có, Bán căn hộ 2PN trong chung cư cao cấp tại TP Cẩm Phả Quảng Ninh, Không,1693000000, 21 m,Đường 18 Cẩm Bình, Không,Bán căn hộ 2PN trong chung cư cao cấp tại TP Cẩm Phả Quảng Ninh,Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/ban-can-ho-2pn-trong-chung-cu-cao-cap-tai-tp-cam-pha-quang-ninh/160442, 57 m, 0 m,Cẩm Bình,None,Quảng Ninh,None
1, Không,0 pn, MS161847,,None,,0, 90 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/8882/335496672-1275729543011124-7328396851837552138-n.jpg, Có," 90m2 - 3 ngủ, nhà đẹp như mới, full đồ chỉ 2.55 tỷ tại KĐT MỚI ĐỊNH CÔNG", Không,2550000000, 1 m,Đường Định Công Định Công, Không,"90m2 - 3 ngủ, nhà đẹp như mới, full đồ chỉ 2.55 tỷ tại KĐT MỚI ĐỊNH CÔNG",Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/90m2-3-ngu-nha-dep-nhu-moi-full-do-chi-255-ty-tai-kdt-moi-dinh-cong/161847, 90 m, 0 m,Định Công,Hoàng Mai,Hà Nội,Định Công Hạ
2, Có,10 pn, MS160445,,None,Tây Nam,2 t, 202 m,Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/8998/e7f1725ffdf220ac79e35-1.jpg, Có," Ngọt!Bán Gấp ChungCư TSQ LÔ GÓC dt khổng lồ202m,4PN,view hồ Làng Việt Kiều,Làm VP TỐT", Không,3000000000, 12 m,Đường Vũ Trọng Khánh Mộ Lao, Không,"Ngọt!Bán Gấp ChungCư TSQ LÔ GÓC dt khổng lồ202m,4PN,view hồ Làng Việt Kiều,Làm VP TỐT",Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/ngotban-gap-chungcu-tsq-lo-goc-dt-khong-lo202m4pnview-ho-lang-viet-kieulam-vp-tot/160445, 202 m, 20 m,Mộ Lao,Hà Đông,Hà Nội,Vũ Trọng Khánh
3, Có,1 pn, MS162579,,None,,3 t, 97 m,Sổ Đỏ, Có, 12 m,https://nhadat24h.net.vn/storage/product/9397/5-3.jpg, Có," CHUNG CƯ V2 VICTORIA VĂN PHÚ Q. HÀ ĐÔNG, GIÁ RẺ, TẶNG TOÀN BỘ NỘI THẤT GẮN TƯỜNG, 97M2, 3 PN GIÁ 2.99 TỶ", Không,2990000000, 4 m,Đường Phúc La - Văn Phú Phú La, Không,"CHUNG CƯ V2 VICTORIA VĂN PHÚ Q. HÀ ĐÔNG, GIÁ RẺ, TẶNG TOÀN BỘ NỘI THẤT GẮN TƯỜNG, 97M2, 3 PN GIÁ 2.99 TỶ",Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/chung-cu-v2-victoria-van-phu-q-ha-dong-gia-re-tang-toan-bo-noi-that-gan-tuong-97m2-3-pn-gia-299-ty/162579, 97 m, 8 m,Phú La,Hà Đông,Hà Nội,Phúc La - Văn Phú
4, Có,10 pn, MS160455,,None,,2 t, 61 m,Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/8926/61.jpg, Có," - Căn hộ thuộc khu chung cư HD Mon City, phường Mỹ đình 2, quận Nam Từ Liêm,", Không,2600000000, 1 m,Đường Hàm Nghi Mỹ Đình 2, Không,"- Căn hộ thuộc khu chung cư HD Mon City, phường Mỹ đình 2, quận Nam Từ Liêm,",Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/can-ho-thuoc-khu-chung-cu-hd-mon-city-phuong-my-dinh-2-quan-nam-tu-liem/160455, 61 m, 6 m,Mỹ Đình 2,Nam Từ Liêm,Hà Nội,Hàm Nghi
5, Có,10 pn, MS160457,,None,,2 t, 61 m,Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/8926/56.jpg, Có, Tôi có nhu cầu nhượng lại căn hộ có sân vườn tại chung cư Florence 28 trần hữu dực, Không,45000000, 1 m,Đường Trần Hữu Dực Cầu Diễn, Không,Tôi có nhu cầu nhượng lại căn hộ có sân vườn tại chung cư Florence 28 trần hữu dực,Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/toi-co-nhu-cau-nhuong-lai-can-ho-co-san-vuon-tai-chung-cu-florence-28-tran-huu-duc/160457, 61 m, 6 m,Cầu Diễn,Nam Từ Liêm,Hà Nội,Trần Hữu Dực
6, Có,10 pn, MS160948,,None,,3 t, 85 m,Hợp đồng mua bán, Có, 10 m,https://nhadat24h.net.vn/storage/product/8926/27.jpg, Có, chính chủ cần bán gấp căn hộ 2 phòng ngủ ở chung cư Florence Hà Nội., Không,3650000000, 1 m,Đường Trần Hữu Dực Cầu Diễn, Không,chính chủ cần bán gấp căn hộ 2 phòng ngủ ở chung cư Florence Hà Nội.,Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/chinh-chu-can-ban-gap-can-ho-2-phong-ngu-o-chung-cu-florence-ha-noi/160948, 85 m, 8 m,Cầu Diễn,Nam Từ Liêm,Hà Nội,Trần Hữu Dực
7, Có,0 pn, MS160461,,None,,3 t, 94 m,Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/9322/ban-can-ho-chung-cu-wilton-binh-thanh-1.jpg, Có," Chung Cư Cao Cấp Wilton Tower, Căn Góc 94m2, 3PN 2WC View Quận 1, Đã Ra Sổ", Không,6500000000, 8 m,Đường Nguyễn Văn Thương 25, Không,"Chung Cư Cao Cấp Wilton Tower, Căn Góc 94m2, 3PN 2WC View Quận 1, Đã Ra Sổ",Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/chung-cu-cao-cap-wilton-tower-can-goc-94m2-3pn-2wc-view-quan-1-da-ra-so/160461, 94 m, 9 m,25,Bình Thạnh,Hồ Chí Minh,None
8, Có,0 pn, MS153169,,None,Đông Bắc,3 t, 74 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/4696/836fd887-d53b-4f88-96bc-8ae79d5dfc50.jpeg, Có," Chính Chủ Cần bán căn hộ chung cư 2 PN, 2 ban công,1 PK view Lễ Hội Pháo hoa ĐN. Giá tốt LH: 0383 106 105", Không,2870000000, 8 m,Đường Nguyễn Chí Thanh Thạch Thang, Không,"Chính Chủ Cần bán căn hộ chung cư 2 PN, 2 ban công,1 PK view Lễ Hội Pháo hoa ĐN. Giá tốt LH: 0383 106 105",Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/chinh-chu-can-ban-can-ho-chung-cu-2-pn-2-ban-cong1-pk-view-le-hoi-phao-hoa-dn-gia-tot-lh-0383-106-105/153169, 74 m, 0 m,Thạch Thang,Hải Châu,Đà Nẵng,Nguyễn Chí Thanh
9, Không,0 pn, MS153421,,None,Đông Nam,0, 74 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/5499/z4179832480984-995d79342e0c9becbe601d3fd4ba4f30.jpg, Có," Mở bán chung cư cao cấp tại Q. Hà Đông, view Hồ Văn Quán. Diện tích 70m2- 90m2- 112m2. Sổ đỏ lâu dài. Cam kết nhận thuê lại 216 triệu/năm", Không,2400000000, 1 m,Đường 15B Bến Nghé, Không,"Mở bán chung cư cao cấp tại Q. Hà Đông, view Hồ Văn Quán. Diện tích 70m2- 90m2- 112m2. Sổ đỏ lâu dài. Cam kết nhận thuê lại 216 triệu/năm",Cần bán căn hộ chung cư,https://nhadat24h.net.vn/du-an/mo-ban-chung-cu-cao-cap-tai-q-ha-dong-view-ho-van-quan-dien-tich-70m2-90m2-112m2-so-do-lau-dai-cam-ket-nhan-thue-lai-216-trieunam/153421, 74 m, 0 m,Bến Nghé,1,Hồ Chí Minh,None
