,bathroom,bedroom,code,date,description,direct,floor,ground_area,juridical,kitchen,length,link_image,livingroom,name_project,parking,price,road_width,specific_address,terrace,title,type,url_page,usable_area,width,ward,district,province,street
0, Không,0, MS279645,,None,,0, 18130 m,Sổ Hồng, Không, 250 m,https://nhadat24h.net.vn/storage/product/14377/cc1.jpg, Không," Bán Miếng Đất Mặt Tiền Đường Số 409, Xã Phước Vĩnh An, Củ Chi", Không,60000000000, 12 m,"Đường 409, Phước Vĩnh An", Không,"Bán Miếng Đất Mặt Tiền Đường Số 409, Xã Phước Vĩnh An, Củ Chi",0,https://nhadat24h.net.vn/du-an/ban-mieng-dat-mat-tien-duong-so-409-xa-phuoc-vinh-an-cu-chi/279645, 18130 m, 70 m,Phước Vĩnh An,Củ Chi,Hồ Chí Minh,None
1, Không,0, MS279646,,None,,0, 310 m,Hợp đồng mua bán, Không, 20 m,https://nhadat24h.net.vn/storage/product/15916/364686293-6327834044002193-7746095235875436687-n.jpg, Không," Cặp Lô biệt thự siêu rộng kđt VCN Phước Long 1, Nha Trang giá siêu rẻ 39 tr/m2", Không,12090000000, 10 m,"Đường B6, Phước Long", Không,"Cặp Lô biệt thự siêu rộng kđt VCN Phước Long 1, Nha Trang giá siêu rẻ 39 tr/m2",0,https://nhadat24h.net.vn/du-an/cap-lo-biet-thu-sieu-rong-kdt-vcn-phuoc-long-1-nha-trang-gia-sieu-re-39-trm2/279646, 310 m, 15 m,Phước Long,None,Khánh Hòa,B6
2, Có,3 pn, MS279647,,None,,3 t, 85 m,Sổ Hồng, Có, 17 m,https://nhadat24h.net.vn/storage/product/16169/z4899912595054-93dfeb79673af0c764e830d8742ca516.jpg, Có, NHÀ CÒN MỚI CÓ DÒNG TIỀN 85M2 GIÁ CHỈ 5.2 TỶ, Không,5200000000, 5 m,"Đường Số 22, Linh Đông", Không,NHÀ CÒN MỚI CÓ DÒNG TIỀN 85M2 GIÁ CHỈ 5.2 TỶ,0,https://nhadat24h.net.vn/du-an/nha-con-moi-co-dong-tien-85m2-gia-chi-52-ty/279647, 85 m, 5 m,Linh Đông,Thủ Đức,Hồ Chí Minh,None
3, Có,7 pn, MS279652,,None,,20 t, 100 m,Sổ Hồng, Có, 20 m,https://nhadat24h.net.vn/storage/product/10510/1-14.jpg, Có," MẶT TIỀN ĐƯỜNG NGUYỄN THỊ THẬP .HIMLAM,Q7- 7 TẦNG  46 TỶ", Không,0, 20 m,"Đường nguyễn thị thập, Tân hưng", Không,"MẶT TIỀN ĐƯỜNG NGUYỄN THỊ THẬP .HIMLAM,Q7- 7 TẦNG  46 TỶ",0,https://nhadat24h.net.vn/du-an/mat-tien-duong-nguyen-thi-thap-himlamq7-7-tang-46-ty/279652, 100 m, 5 m,Tân Hưng,7,Hồ Chí Minh,Nguyễn Thị Thập
4, Không,0, MS279657,,- Giá : 7 tỷ ,Đông Bắc,0, 100 m,Sổ Hồng, Không, 20 m,https://nhadat24h.net.vn/storage/product/16162/z4908496078350-c94dd71b9564aec8c2839151d50fc096.jpg, Không, BÁN LÔ ĐẤT ĐẸP MẶT TIỀN ĐƯỜNG 185 PHƯỜNG PHƯỚC LONG B THÀNH PHỐ THỦ ĐỨC, Không,7000000000, 12 m,"Đường 185, Phước Long B", Không,BÁN LÔ ĐẤT ĐẸP MẶT TIỀN ĐƯỜNG 185 PHƯỜNG PHƯỚC LONG B THÀNH PHỐ THỦ ĐỨC,0,https://nhadat24h.net.vn/du-an/ban-lo-dat-dep-mat-tien-duong-185-phuong-phuoc-long-b-thanh-pho-thu-duc/279657, 100 m, 0 m,Phước Long B,9,Hồ Chí Minh,None
5, Có,18 pn, MS279622,,None,,3 t, 128 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/3698/h1-40.jpg, Có," Chị Họ Em Cần Bán Gấp Căn 3 Ngủ, CC Mỗ Lao, 3.5x tỷ, Full Nôị Thất", Không,3580000000, 12 m,"Đường Mỗ Lao, Mộ Lao", Không,"Chị Họ Em Cần Bán Gấp Căn 3 Ngủ, CC Mỗ Lao, 3.5x tỷ, Full Nôị Thất",0,https://nhadat24h.net.vn/du-an/chi-ho-em-can-ban-gap-can-3-ngu-cc-mo-lao-35x-ty-full-noi-that/279622, 128 m, 0 m,Mộ Lao,Hà Đông,Hà Nội,Mỗ Lao
6, Không,0, MS279528,,None,,0, 50 m,Sổ Đỏ, Không, 11.5 m,https://nhadat24h.net.vn/storage/product/16005/405369590-122119321058089321-5154659593595563449-n.jpg, Không, BÁN LÔ ĐÁT 50M2 SÁT VINHOMES QUẬN 9 - CHỈ 2TY450, Không,2450000000, 6 m,"Đường Nguyễn Xiển, Long Thạnh Mỹ", Không,BÁN LÔ ĐÁT 50M2 SÁT VINHOMES QUẬN 9 - CHỈ 2TY450,0,https://nhadat24h.net.vn/du-an/ban-lo-dat-50m2-sat-vinhomes-quan-9-chi-2ty450/279528, 50 m, 4.47 m,Long Thạnh Mỹ,9,Hồ Chí Minh,None
7, Có,2 pn, MS279526,,None,,4 t, 81 m,Sổ Đỏ, Có, 18 m,https://nhadat24h.net.vn/storage/product/16314/1-3.jpg, Có, BIỆT THỰ KIỀU ĐÀM - SIÊU PHẨM QUẬN 7 - KHU VỰC VIP HIẾM BÁN - 12.3 TỶ TL, Không,12300000000, 6 m,"Đường Kiều Đàm, Tân Quy", Không,BIỆT THỰ KIỀU ĐÀM - SIÊU PHẨM QUẬN 7 - KHU VỰC VIP HIẾM BÁN - 12.3 TỶ TL,0,https://nhadat24h.net.vn/du-an/biet-thu-kieu-dam-sieu-pham-quan-7-khu-vuc-vip-hiem-ban-123-ty-tl/279526, 81 m, 4 m,Tân Quy,7,Hồ Chí Minh,Kiều Đàm
8, Có,8 pn, MS279530,,None,,5 t, 69 m,Sổ Đỏ, Có, 14 m,https://nhadat24h.net.vn/storage/product/14696/z4920281437186-b27f775c9bb0300121623edea027dae7.jpg, Có," Định Công, Hoàng Mai, kinh doanh nhộn nhịp, vỉa hè oto tránh đỗ, 69m2x 8t, mt: 5.2m, 20 tỷ", Không,20000000000, 15 m,"Đường Hoàng Mai, Định Công", Không,"Định Công, Hoàng Mai, kinh doanh nhộn nhịp, vỉa hè oto tránh đỗ, 69m2x 8t, mt: 5.2m, 20 tỷ",0,https://nhadat24h.net.vn/du-an/dinh-cong-hoang-mai-kinh-doanh-nhon-nhip-via-he-oto-tranh-do-69m2x-8t-mt-52m-20-ty/279530, 69 m, 6 m,Định Công,Hoàng Mai,Hà Nội,Hoàng Mai
9, Không,0, MS279533,,None,,0, 0 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/, Có," TRUNG TÂM TÂN PHÚ NGAY LŨY BÁN BÍCH GIAO THOẠI NGỌC HẦU, HẺM ÔTÔ NHỎ, 105M2, NGANG 8.3M, SỔ VUÔNG A4 CỰC ĐẸP, 5 PHÒNG ĐANG CHO THU NHẬP GẦN 20TR, CHÀO CHỈ 9 TỶ TL.", Không,0, 1 m,"Đường 15B, Bến Nghé", Không,"TRUNG TÂM TÂN PHÚ NGAY LŨY BÁN BÍCH GIAO THOẠI NGỌC HẦU, HẺM ÔTÔ NHỎ, 105M2, NGANG 8.3M, SỔ VUÔNG A4 CỰC ĐẸP, 5 PHÒNG ĐANG CHO THU NHẬP GẦN 20TR, CHÀO CHỈ 9 TỶ TL.",0,https://nhadat24h.net.vn/du-an/trung-tam-tan-phu-ngay-luy-ban-bich-giao-thoai-ngoc-hau-hem-oto-nho-105m2-ngang-83m-so-vuong-a4-cuc-dep-5-phong-dang-cho-thu-nhap-gan-20tr-chao-chi-9-ty-tl/279533, 0 m, 0 m,Bến Nghé,1,Hồ Chí Minh,None
