,bathroom,bedroom,code,date,description,direct,floor,ground_area,juridical,kitchen,length,link_image,livingroom,name_project,parking,price,road_width,specific_address,terrace,title,type,url_page,usable_area,width,ward,district,province,street
0, Không,3 pn, MS279197,,None,,3 t, 0 m,Hợp đồng mua bán, Có, 0 m,https://nhadat24h.net.vn/storage/product/14528/z3637911598846-3cbb3896faefdfd7e0c7ea1a3a42b3c0-copy-copy-copy-2-copy-copy-1.jpg, Có, CẦN BÁN GẤP RẤT GẤP CĂN HỘ 3PN EMPIRE CITY THỦ THIÊM, Không,0, 1 m,"Đường Mai Chí Thọ, Thủ Thiêm", Không,CẦN BÁN GẤP RẤT GẤP CĂN HỘ 3PN EMPIRE CITY THỦ THIÊM,1,https://nhadat24h.net.vn/du-an/can-ban-gap-rat-gap-can-ho-3pn-empire-city-thu-thiem/279197, 0 m, 0 m,Thủ Thiêm,2,Hồ Chí Minh,None
1, Không,0, MS279351,,None,,0, 0 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/5273/z4916943543398-894cbb0f997fdeda9c6f83a4be11d589.jpg, Có, CHÍNH CHỦ SANG NHƯỢNG QUÁN BÁNH MỲ MAI DỊCH - CẦU GIẤY - HÀ NỘI, Không,0, 10 m,"Đường Trần Bình, Mai Dịch", Không,CHÍNH CHỦ SANG NHƯỢNG QUÁN BÁNH MỲ MAI DỊCH - CẦU GIẤY - HÀ NỘI,1,https://nhadat24h.net.vn/du-an/chinh-chu-sang-nhuong-quan-banh-my-mai-dich-cau-giay-ha-noi/279351, 0 m, 0 m,Mai Dịch,Cầu Giấy,Hà Nội,Trần Bình
2, Có,5 pn, MS279207,,None,Đông Nam,4 t, 55 m,Sổ Đỏ, Có, 14 m,https://nhadat24h.net.vn/storage/product/8400/2-1.jpg, Có," Chính chủ cần cho thuê nhà 4 tầng + 1 tum tại Đồng Me, Nam Từ Liêm, Hà Nội", Không,0, 2.5 m,"Đường Đồng Me, Mỹ Đình1", Không,"Chính chủ cần cho thuê nhà 4 tầng + 1 tum tại Đồng Me, Nam Từ Liêm, Hà Nội",1,https://nhadat24h.net.vn/du-an/chinh-chu-can-cho-thue-nha-4-tang-1-tum-tai-dong-me-nam-tu-liem-ha-noi/279207, 55 m, 4 m,None,Nam Từ Liêm,Hà Nội,Đồng Me
3, Có,2 pn, MS279208,,None,,5 t, 44 m,Sổ Hồng, Có, 11 m,https://nhadat24h.net.vn/storage/product/16030/a1-16.jpg, Có," Nhà 2 tầng 5PN Sư Vạn Hạnh, 10 tr/th", Không,0, 20 m,"Đường Sư Vạn Hạnh, 15", Không,"Nhà 2 tầng 5PN Sư Vạn Hạnh, 10 tr/th",1,https://nhadat24h.net.vn/du-an/nha-2-tang-5pn-su-van-hanh-10-trth/279208, 44 m, 4 m,15,10,Hồ Chí Minh,Sư Vạn Hạnh
4, Có,2 pn, MS279257,,None,,3 t, 140 m,Hợp đồng mua bán, Có, 0 m,https://nhadat24h.net.vn/storage/product/11613/1-34.jpg, Có, Cho thuê nhà Nguyên căn – Xuân Lạc 2 – Vĩnh Ngọc – Nha Trang – Khánh Hòa., Không,0, 1 m,"Đường Xuân Lạc 2, Vĩnh Ngọc", Không,Cho thuê nhà Nguyên căn – Xuân Lạc 2 – Vĩnh Ngọc – Nha Trang – Khánh Hòa.,1,https://nhadat24h.net.vn/du-an/cho-thue-nha-nguyen-can-xuan-lac-2-vinh-ngoc-nha-trang-khanh-hoa/279257, 140 m, 0 m,Vĩnh Ngọc,None,Khánh Hòa,Xuân Lạc 2
5, Có,2 pn, MS279295,,None,,4 t, 0 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/2001/z4919361116876-5c781038b5989b928cf7ad0e6eddad1d.jpg, Có," CHÍNH CHỦ CHO THUÊ NHÀ NGUYÊN CĂN TẠI ĐƯỜNG 55, KDC 586, QUẬN CÁI RĂNG, CẦN THƠ", Không,0, 10 m,"Đường Số 55, Phú Thứ", Không,"CHÍNH CHỦ CHO THUÊ NHÀ NGUYÊN CĂN TẠI ĐƯỜNG 55, KDC 586, QUẬN CÁI RĂNG, CẦN THƠ",1,https://nhadat24h.net.vn/du-an/chinh-chu-cho-thue-nha-nguyen-can-tai-duong-55-kdc-586-quan-cai-rang-can-tho/279295, 0 m, 0 m,Phú Thứ,Cái Răng,Cần Thơ,số 55
6, Có,2 pn, MS279307,,None,,3 t, 450 m,Sổ Đỏ, Có, 7 m,https://nhadat24h.net.vn/storage/product/12817/1-91.jpg, Có," Chính chủ cho thuê sàn văn phòng rộng 450m2 tại CT6 Văn Khê, Hà Đông", Không,0, 1 m,"Đường 19 tháng 5, La Khê", Không,"Chính chủ cho thuê sàn văn phòng rộng 450m2 tại CT6 Văn Khê, Hà Đông",1,https://nhadat24h.net.vn/du-an/chinh-chu-cho-thue-san-van-phong-rong-450m2-tai-ct6-van-khe-ha-dong/279307, 450 m, 5 m,La Khê,Hà Đông,Hà Nội,19 tháng 5
7, Có,2 pn, MS279321,,None,,3 t, 55 m,Sổ Hồng, Có, 15.5 m,https://nhadat24h.net.vn/storage/product/1363/1-71.jpg, Có," Nhà thuê Trệt, lửng - 55m2 - hẻm ô tô 157 Dương Bá Trạc P1Q8 - Giá 8,5 triệu/ th", Không,0, 6 m,"Đường Dương Bá Trạc, 1", Không,"Nhà thuê Trệt, lửng - 55m2 - hẻm ô tô 157 Dương Bá Trạc P1Q8 - Giá 8,5 triệu/ th",1,https://nhadat24h.net.vn/du-an/nha-thue-tret-lung-55m2-hem-o-to-157-duong-ba-trac-p1q8-gia-85-trieu-th/279321, 55 m, 3.4 m,01,8,Hồ Chí Minh,Dương Bá Trạc
8, Có,1 pn, MS279482,,None,,1 t, 90 m,Sổ Đỏ, Có, 7.5 m,https://nhadat24h.net.vn/storage/product/6761/z4919976469396-b3921ac99be5a81101b5b8ded21ef9cf.jpg, Có," SANG NHƯỢNG TIỆM TRÀ CHANH ĐỊA CHỈ KHU ĐÔ THỊ RESCO CỔ NHUẾ, TÒA OCT5A, BẮC TỪ LIÊM, HÀ NỘI", Không,0, 10 m,"Đường Cổ Nhuế, Cổ Nhuế 1", Không,"SANG NHƯỢNG TIỆM TRÀ CHANH ĐỊA CHỈ KHU ĐÔ THỊ RESCO CỔ NHUẾ, TÒA OCT5A, BẮC TỪ LIÊM, HÀ NỘI",1,https://nhadat24h.net.vn/du-an/sang-nhuong-tiem-tra-chanh-dia-chi-khu-do-thi-resco-co-nhue-toa-oct5a-bac-tu-liem-ha-noi/279482, 90 m, 12 m,None,None,Hà Nội,None
9, Có,1 pn, MS279548,,None,Đông Bắc,1 t, 45 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/15394/2eb67144-c4c3-4721-ad34-527cab804cec.jpg, Có, CHO THUÊ CĂN HỘ 1 NGỦ +1 HƯỚNG ĐÔNG NAM FULL ĐỒ VIEW ĐẸP TẠI VINHOMES OCEAN PARK, Không,0, 1 m,"Đường Đa Tốn, Đa Tốn", Không,CHO THUÊ CĂN HỘ 1 NGỦ +1 HƯỚNG ĐÔNG NAM FULL ĐỒ VIEW ĐẸP TẠI VINHOMES OCEAN PARK,1,https://nhadat24h.net.vn/du-an/cho-thue-can-ho-1-ngu-1-huong-dong-nam-full-do-view-dep-tai-vinhomes-ocean-park/279548, 45 m, 0 m,Đa Tốn,Gia Lâm,Hà Nội,Đa Tốn
